Time,Huaxian,Xianyang,Zhangjiashan
1953/01,2.571264,1.761696,0.4601664
1953/02,2.370816,1.774656,0.7859808
1953/03,2.919456,1.910304,0.7219584
1953/04,2.48832,2.111616,0.479088
1953/05,3.508704,2.402784,0.7571232
1953/06,5.0544,2.99808,1.0037952
1953/07,15.13296,8.399808,3.4044192
1953/08,7.954848,3.053376,1.56151584
1953/09,3.70656,2.867616,0.42256512
1953/10,3.88368,2.914272,0.61280928
1953/11,4.82112,3.502656,0.809568
1953/12,2.785536,1.876608,0.42588288
1954/01,1.995408,1.3981248,0.21914496
1954/02,2.636928,1.3571712,0.7083936
1954/03,4.258656,2.6462592,0.83376
1954/04,5.39136,4.2768,0.45182016
1954/05,6.454944,4.205088,1.118448
1954/06,5.67648,4.48416,0.91524384
1954/07,10.097568,6.401376,1.6557264
1954/08,25.203744,13.365216,4.91593536
1954/09,20.9952,14.07456,5.1331968
1954/10,12.829536,9.749376,1.376784
1954/11,5.62464,4.06944,1.097712
1954/12,4.392576,2.6034048,0.4954176
1955/01,2.839104,2.0864736,0.4273344
1955/02,3.604608,2.2111488,0.9949824
1955/03,4.499712,2.6489376000000004,0.8844336
1955/04,3.1104,2.428704,0.16931808
1955/05,2.1453983999999995,1.727568,0.09593856
1955/06,2.089152,1.5552,0.2820528
1955/07,10.231488,6.374592,1.99962432
1955/08,9.454752,5.410368,2.89558368
1955/09,27.4752,19.0512,2.97845856
1955/10,17.195328,10.740384,2.178144
1955/11,5.00256,3.1104,0.9589536
1955/12,2.705184,2.0436192,0.2214864
1956/01,2.236464,1.8252,0.40438656
1956/02,2.655936,1.521072,0.7235136
1956/03,2.1775392,1.477872,0.3234816
1956/04,4.48416,2.901312,0.68864256
1956/05,3.160512,2.118096,0.51843456
1956/06,25.7904,18.6108192,3.9501216
1956/07,20.570112,11.974608,5.7226176
1956/08,19.980864,13.3399872,5.17542912
1956/09,11.09376,5.951232,1.2914208
1956/10,6.240672,3.712176,0.883872
1956/11,3.16224,2.144448,0.48383136
1956/12,1.8293472,1.6917984,0.09612
1957/01,2.2418208,1.728432,0.32978016
1957/02,2.134944,1.5273792,0.5354208
1957/03,2.758752,1.8042912,0.35132832
1957/04,3.47328,2.4821856,0.27006048
1957/05,10.901088,7.8597216,1.7496
1957/06,7.59456,5.3391744,0.77605344
1957/07,31.60512,17.424288,3.93987456
1957/08,3.589056,1.8226944,0.37044
1957/09,2.506464,1.7930592,0.17853696
1957/10,1.5856128,1.0963296,0.1496448
1957/11,2.9808,1.675296,0.41071104
1957/12,1.8293472,1.0502784,0.05425056
1958/01,1.3606272,0.9980928,0.11844576
1958/02,1.64433024,0.9912672,0.13053312
1958/03,1.3713408,0.7156512,0.20183904
1958/04,3.78432,1.6876512,0.80292384
1958/05,4.41936,2.5589952,0.5530032
1958/06,3.08448,2.1750336,0.54776736
1958/07,19.793376,10.2689856,6.6680064
1958/08,40.176,24.394176,7.6933152
1958/09,11.50848,6.702048,1.8763488
1958/10,13.284864,9.052128,1.7783712
1958/11,10.57536,5.946048,1.3235616
1958/12,4.0176,2.6555904,0.2532816
1959/01,2.3141376,1.7132256,0.0415152
1959/02,3.24680832,2.0513952,0.74720448
1959/03,4.0176,2.6117856,0.5704992
1959/04,4.43232,2.5044768,0.21896352
1959/05,6.749568,4.6761408,0.58195584
1959/06,3.65472,1.9466784,0.35900928
1959/07,6.481728,5.4212544,0.84423168
1959/08,14.0616,8.5996512,5.96268
1959/09,7.28352,4.9218624,1.06255584
1959/10,4.0176,3.2272992,0.43872192
1959/11,4.19904,3.096144,0.35747136
1959/12,1.3579488,1.1397024,0.0455328
1960/01,1.1865312,0.8856864,0.04580064
1960/02,0.7246368,0.5299776,0.04284576
1960/03,1.0818144,1.014768,0.05130432
1960/04,2.7730944,1.7200512,0.17103744
1960/05,2.7594432,1.6907616,0.3582144
1960/06,0.4806432,0.35370432,0.0443232
1960/07,4.424976,2.07915552,1.50061248
1960/08,13.942368,9.17136,2.99347488
1960/09,9.440496,5.2109568,0.883872
1960/10,9.541152,5.976288,0.8191584
1960/11,4.784832,2.8747872,0.60148224
1960/12,1.7443296,1.139616,0.0461808
1961/01,1.3675392,1.2171168,0.04580064
1961/02,0.9321696,0.5966784,0.04443552
1961/03,2.3661504,2.5026624,0.34454592
1961/04,5.8860864,4.450896,0.41904
1961/05,6.016032,5.65704,0.43067808
1961/06,7.4421504,5.440176,0.74290176
1961/07,16.833312,10.744704,2.99340576
1961/08,7.8955776,5.3145504,1.99841472
1961/09,6.794496,4.787424,1.6149024
1961/10,29.235168,17.31456,4.8165408
1961/11,12.907296,7.9488,2.3216544
1961/12,6.270048,3.904848,0.99997632
1962/01,2.869776,2.2151232,0.0759456
1962/02,3.113424,2.0123424,0.5215968
1962/03,3.1617216,1.9955808,0.37642752
1962/04,1.4599008,1.0394784,0.10736064
1962/05,2.665008,1.6798752,0.38375424
1962/06,0.9947232,0.6967296,0.05592672
1962/07,12.2673312,10.334304,2.78650368
1962/08,11.403072,5.978448,1.3812768
1962/09,9.04176,6.4647072,1.30427712
1962/10,18.357408,11.866176,2.5472448
1962/11,9.777024,6.29856,1.8542304
1962/12,6.292512,3.936384,1.1442384
1963/01,2.7931392,2.2832064,0.05397408
1963/02,2.0946816,1.6730496,0.13959648
1963/03,3.6341568,2.3588064,0.6023808
1963/04,6.612192,3.4405344,0.64183968
1963/05,22.408704,13.273632,2.7805248
1963/06,7.567776,5.3103168,0.71282592
1963/07,5.9692032,4.574016,0.91610784
1963/08,3.3840288,2.6372736,1.00890144
1963/09,21.736512,15.727392,3.3731424
1963/10,7.826112,5.589216,1.0656576
1963/11,7.012224,4.762368,1.1924064
1963/12,3.901824,2.8419552,0.33073056
1964/01,2.342304,1.982016,0.06215616
1964/02,2.4571296,2.007504,0.26452224
1964/03,6.024672,4.0561344,1.5558048
1964/04,13.156992,11.350368,1.4154048
1964/05,21.994848,15.362784,3.1248288
1964/06,10.9512,6.422112,2.125872
1964/07,18.41616,9.382176,5.5207008
1964/08,14.33376,4.6534176,7.7281344
1964/09,43.790112,24.618816,7.072272
1964/10,34.375968,19.808064,5.999616
1964/11,13.276224,7.788096,2.800224
1964/12,6.486048,4.228416,1.147392
1965/01,3.655584,2.4770016,0.34481376
1965/02,3.911328,2.649024,0.61998048
1965/03,5.049216,3.126816,1.302912
1965/04,10.67904,7.628256,1.7889984
1965/05,12.112416,8.29008,1.25818272
1965/06,5.127408,3.6289728,0.56096928
1965/07,17.0826624,9.9038592,2.20248288
1965/08,3.1313952,1.6825536,0.3290112
1965/09,4.2997824,2.7608256,0.43055712
1965/10,6.468768,4.252608,0.97161984
1965/11,4.54896,3.0059424,0.83745792
1965/12,2.0912256,1.598832,0.04486752
1966/01,1.4497056,1.1379744,0.04124736
1966/02,1.43208,1.04328,0.11090304
1966/03,3.46248,1.544832,0.37107936
1966/04,3.19464,1.7289504,0.25242624
1966/05,2.6331264,1.2865824,0.3300048
1966/06,1.80965664,0.92310624,1.23968448
1966/07,17.725392,8.725536,8.07325056
1966/08,7.9521696,3.9207456,4.4203968
1966/09,28.919808,19.3262112,8.814528
1966/10,10.37232,6.200064,2.6212032
1966/11,5.729184,3.621888,1.3415328
1966/12,2.0270304,1.4063328,0.42080256
1967/01,2.0180448,1.4818464,0.22928832
1967/02,2.13624,1.384992,0.5055264
1967/03,4.834944,2.7953856,1.557792
1967/04,11.042784,6.472224,1.93968
1967/05,14.592096,10.425024,3.0225312
1967/06,5.6631744,4.9828608,0.84328128
1967/07,15.876864,11.24064,1.53007488
1967/08,4.7021472,3.7319616,1.97938944
1967/09,16.23888,13.064976,2.791152
1967/10,14.784768,10.257408,2.1084192
1967/11,8.071488,5.358528,1.4058144
1967/12,4.3642368,2.9649024,0.24376896
1968/01,2.77344,2.2690368,0.11716704
1968/02,2.814048,2.062368,0.18245952
1968/03,4.904928,3.4763904,1.035936
1968/04,9.138528,5.880384,0.9896256
1968/05,11.035008,5.839344,1.11828384
1968/06,1.4349312,0.9557568,0.30938976
1968/07,4.9176288,3.1313088,1.96915104
1968/08,9.8769024,6.1877952,4.8289824
1968/09,34.79328,25.251264,5.0880096
1968/10,22.085568,12.324096,3.8458368
1968/11,9.647424,5.843232,2.0755008
1968/12,5.350752,4.00032,0.64020672
1969/01,3.519936,2.700864,0.20942496
1969/02,3.96576,2.744496,0.8833536
1969/03,4.593024,3.393792,0.7967808
1969/04,10.054368,6.116256,0.9588672
1969/05,6.1442496,3.59424,1.4967936
1969/06,0.46300896,0.3774816,0.0700704
1969/07,3.75709536,1.88532576,2.51284896
1969/08,2.7420768,1.5983136,1.27143648
1969/09,5.187024,4.2760224,1.49757984
1969/10,7.330176,4.965408,1.4421024
1969/11,3.633984,2.4830496,0.80915328
1969/12,1.5822432,1.460592,0.04590432
1970/01,1.3116384,1.146528,0.04122144
1970/02,1.3533696,1.2567744,0.1027728
1970/03,2.4817536,1.9579968,0.37072512
1970/04,5.057856,3.988224,0.41267232
1970/05,8.859456,6.310224,1.03518432
1970/06,7.090416,4.6149696,0.7306848
1970/07,5.59882368,4.1478048,1.1969424
1970/08,15.8523264,9.542448,8.03192544
1970/09,23.935392,14.328576,4.2511392
1970/10,13.112928,7.46064,2.080512
1970/11,5.507136,3.1910976,1.19232
1970/12,2.2660128,1.9237824,0.17505504
1971/01,1.4779584,1.3483584,0.0465264
1971/02,1.7967744,1.4377824,0.14144544
